_source_file,_room,_board_number,ns_dd_S,ew_dd_S,ns_dd_H,ew_dd_H,ns_dd_D,ew_dd_D,ns_dd_C,ew_dd_C,ns_dd_N,ew_dd_N,dd_par_level,dd_par_denom,dd_par_declarer_is_ns,dd_par_score
85361.lin,open,25,7,6,6,6,0,12,0,12,0,7,6,0,1,-1100
85361.lin,closed,25,7,6,6,6,0,12,0,12,0,7,6,0,1,-1100
85361.lin,open,26,8,4,10,3,9,2,5,8,7,4,4,1,1,620
85361.lin,closed,26,8,4,10,3,9,2,5,8,7,4,4,1,1,620
85361.lin,open,27,7,6,10,3,6,6,7,5,8,5,4,1,1,420
85361.lin,closed,27,7,6,10,3,6,6,7,5,8,5,4,1,1,420
85361.lin,open,28,5,7,6,6,7,6,5,8,5,6,2,3,0,-90
85361.lin,closed,28,5,7,6,6,7,6,5,8,5,6,2,3,0,-90
85362.lin,open,1,7,6,4,9,7,5,8,3,6,7,3,1,0,-140
85362.lin,closed,1,7,6,4,9,7,5,8,3,6,7,3,1,0,-140
85362.lin,open,2,3,10,5,8,3,10,4,8,4,8,4,0,0,-420
85362.lin,closed,2,3,10,5,8,3,10,4,8,4,8,4,0,0,-420
85362.lin,open,3,3,9,7,5,4,9,3,9,6,6,2,0,0,-140
85362.lin,closed,3,3,9,7,5,4,9,3,9,6,6,2,0,0,-140
85362.lin,open,4,3,10,7,6,1,12,1,9,1,12,6,4,0,-1440
85362.lin,closed,4,3,10,7,6,1,12,1,9,1,12,6,4,0,-1440
85362.lin,open,5,6,6,3,10,3,10,6,7,3,10,3,4,0,-430
85362.lin,closed,5,6,6,3,10,3,10,6,7,3,10,3,4,0,-430
85362.lin,open,6,6,6,10,3,10,3,6,6,7,4,4,1,1,420
85362.lin,closed,6,6,6,10,3,10,3,6,6,7,4,4,1,1,420
85362.lin,open,7,6,7,7,5,6,6,7,5,6,7,1,4,0,-90
85362.lin,closed,7,6,7,7,5,6,6,7,5,6,7,1,4,0,-90
85362.lin,open,8,5,8,4,9,2,10,3,9,3,10,3,4,0,-430
85362.lin,closed,8,5,8,4,9,2,10,3,9,3,10,3,4,0,-430
85363.lin,open,9,7,6,3,9,4,8,5,8,3,9,4,0,1,-500
85363.lin,closed,9,7,6,3,9,4,8,5,8,3,9,4,0,1,-500
85363.lin,open,10,3,10,5,8,7,6,6,7,3,9,4,0,0,-620
85363.lin,closed,10,3,10,5,8,7,6,6,7,3,9,4,0,0,-620
85363.lin,open,11,9,4,8,5,4,8,11,1,8,5,5,3,1,400
85363.lin,closed,11,9,4,8,5,4,8,11,1,8,5,5,3,1,400
85363.lin,open,12,4,9,4,9,6,7,2,10,3,9,3,4,0,-400
85363.lin,closed,12,4,9,4,9,6,7,2,10,3,9,3,4,0,-400
85363.lin,open,13,9,2,11,1,8,4,6,7,12,1,6,4,1,1440
85363.lin,closed,13,9,2,11,1,8,4,6,7,12,1,6,4,1,1440
85363.lin,open,14,5,7,5,8,6,7,8,5,6,6,3,3,1,-100
85363.lin,closed,14,5,7,5,8,6,7,8,5,6,6,3,3,1,-100
85363.lin,open,15,7,6,3,10,5,8,6,7,5,8,4,1,0,-420
85363.lin,closed,15,7,6,3,10,5,8,6,7,5,8,4,1,0,-420
85363.lin,open,16,4,8,1,12,1,11,7,6,1,10,7,3,1,-1400
85363.lin,closed,16,4,8,1,12,1,11,7,6,1,10,7,3,1,-1400
85365.lin,open,17,4,8,6,6,6,6,7,6,5,8,2,4,0,-120
85365.lin,closed,17,4,8,6,6,6,6,7,6,5,8,2,4,0,-120
85365.lin,open,18,5,7,5,8,7,6,6,6,6,7,1,1,0,-110
85365.lin,closed,18,5,7,5,8,7,6,6,6,6,7,1,1,0,-110
85365.lin,open,19,11,2,9,4,9,4,10,3,9,4,4,0,1,450
85365.lin,closed,19,11,2,9,4,9,4,10,3,9,4,4,0,1,450
85365.lin,open,20,9,3,6,7,11,1,11,2,7,6,5,2,1,600
85365.lin,closed,20,9,3,6,7,11,1,11,2,7,6,5,2,1,600
85365.lin,open,21,11,2,10,3,7,6,8,3,7,5,4,0,1,650
85365.lin,closed,21,11,2,10,3,7,6,8,3,7,5,4,0,1,650
85365.lin,open,22,4,7,5,7,2,10,4,8,3,10,3,4,0,-630
85365.lin,closed,22,4,7,5,7,2,10,4,8,3,10,3,4,0,-630
85365.lin,open,23,5,7,1,11,1,11,6,7,3,8,4,1,0,-650
85365.lin,closed,23,5,7,1,11,1,11,6,7,3,8,4,1,0,-650
85365.lin,open,24,8,5,5,8,8,4,5,8,5,5,3,1,0,100
85365.lin,closed,24,8,5,5,8,8,4,5,8,5,5,3,1,0,100
85366.lin,open,1,6,6,7,5,3,10,4,8,2,10,3,4,0,-460
85366.lin,closed,1,6,6,7,5,3,10,4,8,2,10,3,4,0,-460
85366.lin,open,2,5,8,5,8,5,8,5,8,5,8,1,4,0,-120
85366.lin,closed,2,5,8,5,8,5,8,5,8,5,8,1,4,0,-120
85366.lin,open,3,2,10,2,11,8,5,2,11,5,6,5,1,0,-650
85366.lin,closed,3,2,10,2,11,8,5,2,11,5,6,5,1,0,-650
85366.lin,open,4,9,4,10,3,3,10,7,6,4,9,4,4,0,200
85366.lin,closed,4,9,4,10,3,3,10,7,6,4,9,4,4,0,200
85366.lin,open,5,3,10,3,10,5,8,3,10,3,10,3,4,0,-430
85366.lin,closed,5,3,10,3,10,5,8,3,10,3,10,3,4,0,-430
85366.lin,open,6,5,6,7,5,5,8,4,9,4,9,4,1,1,-300
85366.lin,closed,6,5,6,7,5,5,8,4,9,4,9,4,1,1,-300
85366.lin,open,7,5,8,7,6,2,10,4,9,2,10,3,4,0,-630
85366.lin,closed,7,5,8,7,6,2,10,4,9,2,10,3,4,0,-630
85366.lin,open,8,4,9,3,10,3,9,7,6,4,7,4,1,0,-420
85366.lin,closed,8,4,9,3,10,3,9,7,6,4,7,4,1,0,-420
85367.lin,open,9,4,9,3,10,4,8,7,6,3,9,4,1,0,-620
85367.lin,closed,9,4,9,3,10,4,8,7,6,3,9,4,1,0,-620
85367.lin,open,10,6,6,3,10,2,10,5,8,5,8,4,1,0,-620
85367.lin,closed,10,6,6,3,10,2,10,5,8,5,8,4,1,0,-620
85367.lin,open,11,4,7,3,9,7,6,5,7,5,8,2,1,0,-140
85367.lin,closed,11,4,7,3,9,7,6,5,7,5,8,2,1,0,-140
85367.lin,open,12,8,5,8,4,7,6,6,6,8,5,1,1,1,140
85367.lin,closed,12,8,5,8,4,7,6,6,6,8,5,1,1,1,140
85367.lin,open,13,7,6,3,10,1,11,2,11,2,11,3,4,0,-660
85367.lin,closed,13,7,6,3,10,1,11,2,11,2,11,3,4,0,-660
85367.lin,open,14,7,5,7,5,7,6,6,6,6,6,1,0,1,80
85367.lin,closed,14,7,5,7,5,7,6,6,6,6,6,1,0,1,80
85367.lin,open,15,8,5,8,5,5,8,5,7,7,6,3,2,0,100
85367.lin,closed,15,8,5,8,5,5,8,5,7,7,6,3,2,0,100
85367.lin,open,16,6,6,3,10,2,11,5,8,2,11,3,4,0,-660
85367.lin,closed,16,6,6,3,10,2,11,5,8,2,11,3,4,0,-660
85368.lin,open,17,8,5,6,7,7,6,7,6,7,5,2,0,1,110
85368.lin,closed,17,8,5,6,7,7,6,7,6,7,5,2,0,1,110
85368.lin,open,18,4,8,3,10,7,5,4,7,4,6,4,1,0,-420
85368.lin,closed,18,4,8,3,10,7,5,4,7,4,6,4,1,0,-420
85368.lin,open,19,10,2,10,3,8,4,7,6,8,4,4,0,1,420
85368.lin,closed,19,10,2,10,3,8,4,7,6,8,4,4,0,1,420
85368.lin,open,20,5,8,6,7,5,8,8,4,5,6,2,0,0,-110
85368.lin,closed,20,5,8,6,7,5,8,8,4,5,6,2,0,0,-110
85368.lin,open,21,7,5,5,8,9,4,5,7,6,6,3,1,0,100
85368.lin,closed,21,7,5,5,8,9,4,5,7,6,6,3,1,0,100
85368.lin,open,22,3,10,6,6,7,6,3,10,3,10,4,4,0,-630
85368.lin,closed,22,3,10,6,6,7,6,3,10,3,10,4,4,0,-630
85368.lin,open,23,5,8,6,7,2,11,7,6,4,9,3,4,0,-600
85368.lin,closed,23,5,8,6,7,2,11,7,6,4,9,3,4,0,-600
85368.lin,open,24,2,11,4,8,7,6,5,8,4,9,4,0,0,-450
85368.lin,closed,24,2,11,4,8,7,6,5,8,4,9,4,0,0,-450
85369.lin,open,25,7,6,6,7,7,6,5,8,6,7,1,4,0,-90
85369.lin,closed,25,7,6,6,7,7,6,5,8,6,7,1,4,0,-90
85369.lin,open,26,3,10,8,5,4,8,7,6,6,7,4,0,0,-620
85369.lin,closed,26,3,10,8,5,4,8,7,6,6,7,4,0,0,-620
85369.lin,open,27,5,8,4,7,8,5,10,3,6,5,4,3,1,130
85369.lin,closed,27,5,8,4,7,8,5,10,3,6,5,4,3,1,130
85369.lin,open,28,3,9,3,9,9,3,10,3,3,4,4,0,0,100
85369.lin,closed,28,3,9,3,9,9,3,10,3,3,4,4,0,0,100
85369.lin,open,29,8,4,9,3,5,7,8,5,9,3,3,4,1,600
85369.lin,closed,29,8,4,9,3,5,7,8,5,9,3,3,4,1,600
85369.lin,open,30,4,9,6,7,7,6,5,8,6,7,2,0,0,-140
85369.lin,closed,30,4,9,6,7,7,6,5,8,6,7,2,0,0,-140
85369.lin,open,31,7,6,5,8,2,11,2,11,4,7,5,2,0,-400
85369.lin,closed,31,7,6,5,8,2,11,2,11,4,7,5,2,0,-400
85369.lin,open,32,3,10,5,7,1,11,2,11,2,11,3,4,0,-660
85369.lin,closed,32,3,10,5,7,1,11,2,11,2,11,3,4,0,-660
85370.lin,open,1,3,10,7,6,7,6,10,3,7,5,5,3,1,-100
85370.lin,closed,1,3,10,7,6,7,6,10,3,7,5,5,3,1,-100
85370.lin,open,2,7,6,7,6,8,5,7,6,7,6,1,4,1,90
85370.lin,closed,2,7,6,7,6,8,5,7,6,7,6,1,4,1,90
85370.lin,open,3,11,1,10,3,5,8,10,3,9,3,4,0,1,450
85370.lin,closed,3,11,1,10,3,5,8,10,3,9,3,4,0,1,450
85370.lin,open,4,6,7,7,5,8,5,7,5,7,6,1,4,1,90
85370.lin,closed,4,6,7,7,5,8,5,7,5,7,6,1,4,1,90
85370.lin,open,5,10,0,7,6,12,0,11,1,7,0,6,2,1,1370
85370.lin,closed,5,10,0,7,6,12,0,11,1,7,0,6,2,1,1370
85370.lin,open,6,6,7,8,4,8,5,10,3,6,7,2,3,1,130
85370.lin,closed,6,6,7,8,4,8,5,10,3,6,7,2,3,1,130
85372.lin,open,13,0,13,6,6,0,13,7,6,1,12,7,0,0,-2210
85372.lin,closed,13,0,13,6,6,0,13,7,6,1,12,7,0,0,-2210
85372.lin,open,14,5,8,5,8,7,5,9,3,9,4,4,0,0,300
85372.lin,closed,14,5,8,5,8,7,5,9,3,9,4,4,0,0,300
85372.lin,open,15,11,2,7,6,7,5,8,4,8,2,4,0,1,650
85372.lin,closed,15,11,2,7,6,7,5,8,4,8,2,4,0,1,650
85372.lin,open,16,1,12,5,8,3,10,7,6,1,11,7,3,1,-1400
85372.lin,closed,16,1,12,5,8,3,10,7,6,1,11,7,3,1,-1400
85372.lin,open,17,6,6,5,7,4,8,9,4,6,5,4,3,1,-100
85372.lin,closed,17,6,6,5,7,4,8,9,4,6,5,4,3,1,-100
85372.lin,open,18,3,10,8,5,5,8,3,10,7,6,4,0,0,-420
85372.lin,closed,18,3,10,8,5,5,8,3,10,7,6,4,0,0,-420
85373.lin,open,25,4,9,4,9,3,10,3,10,3,10,3,4,0,-630
85373.lin,closed,25,4,9,4,9,3,10,3,10,3,10,3,4,0,-630
85373.lin,open,26,7,5,6,6,8,5,11,2,9,4,3,4,1,600
85373.lin,closed,26,7,5,6,6,8,5,11,2,9,4,3,4,1,600
85373.lin,open,27,6,7,9,3,7,6,9,3,9,4,3,4,1,400
85373.lin,closed,27,6,7,9,3,7,6,9,3,9,4,3,4,1,400
85373.lin,open,28,7,6,4,9,3,10,4,9,3,9,3,4,0,-400
85373.lin,closed,28,7,6,4,9,3,10,4,9,3,9,3,4,0,-400
85373.lin,open,29,3,9,5,5,9,4,2,10,4,8,3,0,0,-140
85373.lin,closed,29,3,9,5,5,9,4,2,10,4,8,3,0,0,-140
85373.lin,open,30,6,6,11,2,4,8,7,6,9,3,4,1,1,450
85373.lin,closed,30,6,6,11,2,4,8,7,6,9,3,4,1,1,450
85374.lin,open,19,9,3,10,3,5,8,8,5,5,6,4,1,1,420
85374.lin,closed,19,9,3,10,3,5,8,8,5,5,6,4,1,1,420
85374.lin,open,20,6,6,8,5,6,6,6,6,8,5,1,4,1,120
85374.lin,closed,20,6,6,8,5,6,6,6,6,8,5,1,4,1,120
85374.lin,open,21,5,7,7,6,8,5,8,5,7,5,1,4,1,90
85374.lin,closed,21,5,7,7,6,8,5,8,5,7,5,1,4,1,90
85374.lin,open,22,1,11,6,6,1,11,6,7,2,8,4,0,0,-650
85374.lin,closed,22,1,11,6,6,1,11,6,7,2,8,4,0,0,-650
85374.lin,open,23,8,5,8,4,8,5,7,5,9,4,3,4,1,600
85374.lin,closed,23,8,5,8,4,8,5,7,5,9,4,3,4,1,600
85374.lin,open,24,2,11,7,5,3,10,8,5,2,8,4,0,0,-450
85374.lin,closed,24,2,11,7,5,3,10,8,5,2,8,4,0,0,-450
85375.lin,open,1,1,11,5,8,0,13,5,7,0,13,7,4,0,-1520
85375.lin,closed,1,1,11,5,8,0,13,5,7,0,13,7,4,0,-1520
85375.lin,open,2,6,6,2,10,5,7,2,9,2,9,4,1,0,-420
85375.lin,closed,2,6,6,2,10,5,7,2,9,2,9,4,1,0,-420
85375.lin,open,3,5,7,7,6,7,6,4,9,6,6,3,3,0,-110
85375.lin,closed,3,5,7,7,6,7,6,4,9,6,6,3,3,0,-110
85375.lin,open,4,11,2,7,6,8,5,12,1,10,2,6,3,1,1370
85375.lin,closed,4,11,2,7,6,8,5,12,1,10,2,6,3,1,1370
85375.lin,open,5,5,8,9,3,10,3,5,8,7,3,4,2,1,130
85375.lin,closed,5,5,8,9,3,10,3,5,8,7,3,4,2,1,130
85375.lin,closed,6,8,5,9,4,10,3,9,3,8,5,1,1,1,140
85377.lin,open,7,5,8,3,9,8,4,9,4,6,5,3,1,0,-140
85377.lin,closed,7,5,8,3,9,8,4,9,4,6,5,3,1,0,-140
85377.lin,open,8,6,7,3,10,5,7,3,9,3,10,3,4,0,-430
85377.lin,closed,8,6,7,3,10,5,7,3,9,3,10,3,4,0,-430
85377.lin,open,9,11,1,11,1,7,6,5,8,9,3,4,0,1,450
85377.lin,closed,9,11,1,11,1,7,6,5,8,9,3,4,0,1,450
85377.lin,open,10,1,12,1,12,6,6,7,6,1,11,6,0,0,-1430
85377.lin,closed,10,1,12,1,12,6,6,7,6,1,11,6,0,0,-1430
85377.lin,open,11,4,9,6,5,5,8,9,3,10,3,5,0,0,300
85377.lin,closed,11,4,9,6,5,5,8,9,3,10,3,5,0,0,300
85377.lin,open,12,5,8,5,8,8,5,5,8,6,6,2,0,0,-110
85377.lin,closed,12,5,8,5,8,8,5,5,8,6,6,2,0,0,-110
85378.lin,open,13,5,8,3,9,6,7,9,4,3,9,4,3,1,-200
85378.lin,closed,13,5,8,3,9,6,7,9,4,3,9,4,3,1,-200
85378.lin,open,14,8,5,6,7,3,10,3,10,4,7,4,2,0,-130
85378.lin,closed,14,8,5,6,7,3,10,3,10,4,7,4,2,0,-130
85378.lin,open,15,7,6,11,1,10,3,11,2,8,2,4,1,1,650
85378.lin,closed,15,7,6,11,1,10,3,11,2,8,2,4,1,1,650
85378.lin,open,16,11,2,10,2,8,5,7,6,7,2,4,0,1,450
85378.lin,closed,16,11,2,10,2,8,5,7,6,7,2,4,0,1,450
85378.lin,open,17,10,3,12,1,4,8,9,3,6,7,6,1,1,980
85378.lin,closed,17,10,3,12,1,4,8,9,3,6,7,6,1,1,980
85378.lin,open,18,7,5,7,6,6,7,5,8,7,6,2,3,0,-90
85378.lin,closed,18,7,5,7,6,6,7,5,8,7,6,2,3,0,-90
85379.lin,open,19,6,6,9,4,9,4,4,9,5,7,3,1,1,140
85379.lin,closed,19,6,6,9,4,9,4,4,9,5,7,3,1,1,140
85379.lin,open,20,4,9,6,7,9,3,4,9,8,4,4,2,1,130
85379.lin,closed,20,4,9,6,7,9,3,4,9,8,4,4,2,1,130
85379.lin,open,21,6,7,5,7,4,9,7,6,5,8,1,4,0,-120
85379.lin,closed,21,6,7,5,7,4,9,7,6,5,8,1,4,0,-120
85379.lin,open,22,4,9,4,9,5,8,7,6,4,9,4,3,1,-500
85379.lin,closed,22,4,9,4,9,5,8,7,6,4,9,4,3,1,-500
85379.lin,open,23,3,9,5,7,3,9,9,4,6,6,3,0,0,-140
85379.lin,closed,23,3,9,5,7,3,9,9,4,6,6,3,0,0,-140
85379.lin,open,24,3,9,2,10,5,8,1,12,1,11,6,3,0,-920
85379.lin,closed,24,3,9,2,10,5,8,1,12,1,11,6,3,0,-920
85381.lin,open,3,8,4,8,5,8,5,2,9,4,5,3,0,1,-100
85381.lin,closed,3,8,4,8,5,8,5,2,9,4,5,3,0,1,-100
85381.lin,open,4,8,4,10,3,6,6,7,5,9,4,4,1,1,620
85381.lin,closed,4,8,4,10,3,6,6,7,5,9,4,4,1,1,620
85381.lin,open,5,3,8,7,3,8,5,8,5,5,8,2,4,0,-120
85381.lin,closed,5,3,8,7,3,8,5,8,5,5,8,2,4,0,-120
85381.lin,open,6,0,13,4,9,8,5,1,12,3,6,7,0,0,-2210
85381.lin,closed,6,0,13,4,9,8,5,1,12,3,6,7,0,0,-2210
85381.lin,open,7,7,6,10,3,9,4,6,7,8,5,4,1,1,620
85381.lin,closed,7,7,6,10,3,9,4,6,7,8,5,4,1,1,620
85381.lin,open,8,3,9,4,9,5,8,4,8,4,9,3,4,0,-400
85381.lin,closed,8,3,9,4,9,5,8,4,8,4,9,3,4,0,-400
85381.lin,open,9,5,8,2,10,5,8,1,12,2,11,6,3,0,-1370
85381.lin,closed,9,5,8,2,10,5,8,1,12,2,11,6,3,0,-1370
85381.lin,open,10,7,5,6,6,8,5,5,7,7,5,1,4,1,120
85381.lin,closed,10,7,5,6,6,8,5,5,7,7,5,1,4,1,120
85381.lin,open,11,0,11,1,11,9,4,4,9,1,10,5,0,0,-450
85381.lin,closed,11,0,11,1,11,9,4,4,9,1,10,5,0,0,-450
85381.lin,open,12,7,5,6,7,8,5,8,5,7,5,1,4,1,90
85381.lin,closed,12,7,5,6,7,8,5,8,5,7,5,1,4,1,90
85383.lin,open,13,5,8,4,9,5,8,4,8,5,7,1,1,0,-140
85383.lin,closed,13,5,8,4,9,5,8,4,8,5,7,1,1,0,-140
85383.lin,open,14,7,6,5,7,3,10,5,7,6,7,3,2,0,-130
85383.lin,closed,14,7,6,5,7,3,10,5,7,6,7,3,2,0,-130
85383.lin,open,15,6,7,0,12,5,8,1,12,1,12,6,4,0,-990
85383.lin,closed,15,6,7,0,12,5,8,1,12,1,12,6,4,0,-990
85383.lin,open,16,3,10,3,10,10,3,9,4,5,4,5,2,1,-100
85383.lin,closed,16,3,10,3,10,10,3,9,4,5,4,5,2,1,-100
85383.lin,open,17,7,5,4,8,7,5,4,8,4,7,2,0,1,-100
85383.lin,closed,17,7,5,4,8,7,5,4,8,4,7,2,0,1,-100
85383.lin,open,18,5,8,3,10,6,7,8,5,4,9,4,1,0,-420
85383.lin,closed,18,5,8,3,10,6,7,8,5,4,9,4,1,0,-420
85383.lin,open,19,10,3,6,7,5,7,9,4,10,3,3,4,1,430
85383.lin,closed,19,10,3,6,7,5,7,9,4,10,3,3,4,1,430
85383.lin,open,20,7,6,9,4,9,3,4,8,6,7,2,1,1,140
85383.lin,closed,20,7,6,9,4,9,3,4,8,6,7,2,1,1,140
85383.lin,open,21,3,10,2,10,4,9,4,9,3,10,3,4,0,-430
85383.lin,open,22,2,11,2,11,6,7,5,8,2,11,3,4,0,-660
85383.lin,open,23,4,8,6,6,6,7,3,9,6,6,1,0,0,-110
85384.lin,open,25,7,6,6,7,6,7,8,4,5,7,2,3,1,90
85384.lin,closed,25,7,6,6,7,6,7,8,4,5,7,2,3,1,90
85384.lin,open,26,10,3,9,4,7,5,9,3,8,4,4,0,1,620
85384.lin,closed,26,10,3,9,4,7,5,9,3,8,4,4,0,1,620
85384.lin,open,27,3,9,6,7,4,8,7,6,3,9,3,4,0,-400
85384.lin,closed,27,3,9,6,7,4,8,7,6,3,9,3,4,0,-400
85384.lin,open,28,6,6,6,7,4,9,4,9,4,9,3,4,0,-400
85384.lin,closed,28,6,6,6,7,4,9,4,9,4,9,3,4,0,-400
85384.lin,open,29,7,6,4,9,8,5,7,6,6,7,2,1,0,-140
85384.lin,closed,29,7,6,4,9,8,5,7,6,6,7,2,1,0,-140
85384.lin,open,30,7,6,7,6,8,4,8,5,8,5,1,4,1,120
85384.lin,closed,30,7,6,7,6,8,4,8,5,8,5,1,4,1,120
85385.lin,open,1,9,3,9,4,5,7,10,3,8,3,2,0,1,140
85385.lin,closed,1,9,3,9,4,5,7,10,3,8,3,2,0,1,140
85385.lin,open,2,6,7,8,5,6,7,5,8,6,7,2,4,0,100
85385.lin,closed,2,6,7,8,5,6,7,5,8,6,7,2,4,0,100
85385.lin,open,3,10,3,8,5,7,6,7,6,8,5,4,0,1,420
85385.lin,closed,3,10,3,8,5,7,6,7,6,8,5,4,0,1,420
85385.lin,open,4,7,6,2,11,6,5,2,11,2,10,4,1,0,-650
85385.lin,closed,4,7,6,2,11,6,5,2,11,2,10,4,1,0,-650
85385.lin,closed,5,9,4,12,1,7,6,11,2,10,2,6,1,1,1430
85385.lin,open,6,10,3,9,4,10,3,9,4,8,3,4,0,1,420
85385.lin,closed,6,10,3,9,4,10,3,9,4,8,3,4,0,1,420
85387.lin,open,13,8,5,7,6,4,9,5,7,8,5,3,2,0,-110
85387.lin,closed,13,8,5,7,6,4,9,5,7,8,5,3,2,0,-110
85387.lin,open,14,9,4,7,6,9,4,10,3,9,4,3,4,1,400
85387.lin,closed,14,9,4,7,6,9,4,10,3,9,4,3,4,1,400
85387.lin,open,15,4,9,2,9,5,8,5,7,7,6,2,0,0,-140
85387.lin,closed,15,4,9,2,9,5,8,5,7,7,6,2,0,0,-140
85387.lin,open,16,8,4,4,8,6,7,10,2,5,4,3,3,1,130
85387.lin,closed,16,8,4,4,8,6,7,10,2,5,4,3,3,1,130
85387.lin,open,17,7,6,9,4,8,5,8,5,9,4,3,4,1,400
85387.lin,closed,17,7,6,9,4,8,5,8,5,9,4,3,4,1,400
85387.lin,open,18,3,9,9,4,8,4,5,8,6,4,3,0,0,-140
85387.lin,closed,18,3,9,9,4,8,4,5,8,6,4,3,0,0,-140
85388.lin,open,19,11,2,11,2,9,4,6,7,11,2,3,4,1,460
85388.lin,closed,19,11,2,11,2,9,4,6,7,11,2,3,4,1,460
85388.lin,open,20,7,6,3,10,7,6,6,6,5,7,4,1,0,-620
85388.lin,closed,20,7,6,3,10,7,6,6,6,5,7,4,1,0,-620
85388.lin,open,21,3,10,3,10,8,4,6,6,3,6,4,0,0,-420
85388.lin,closed,21,3,10,3,10,8,4,6,6,3,6,4,0,0,-420
85388.lin,open,22,8,4,8,5,9,4,7,6,7,6,1,0,1,110
85388.lin,closed,22,8,4,8,5,9,4,7,6,7,6,1,0,1,110
85388.lin,open,23,6,6,5,8,11,2,9,4,8,5,5,2,1,600
85388.lin,closed,23,6,6,5,8,11,2,9,4,8,5,5,2,1,600
85388.lin,open,24,1,12,1,12,2,11,3,10,2,11,6,0,0,-980
85388.lin,closed,24,1,12,1,12,2,11,3,10,2,11,6,0,0,-980
85389.lin,open,1,11,2,5,6,10,3,4,9,7,4,5,0,1,450
85389.lin,closed,1,11,2,5,6,10,3,4,9,7,4,5,0,1,450
85389.lin,open,2,4,8,11,1,5,7,10,1,6,6,5,0,0,500
85389.lin,closed,2,4,8,11,1,5,7,10,1,6,6,5,0,0,500
85389.lin,open,3,10,3,6,6,9,4,10,3,9,2,4,0,1,420
85389.lin,closed,3,10,3,6,6,9,4,10,3,9,2,4,0,1,420
85389.lin,open,4,2,11,3,10,5,8,6,7,3,9,4,0,0,-650
85389.lin,closed,4,2,11,3,10,5,8,6,7,3,9,4,0,0,-650
85389.lin,open,5,9,4,8,5,7,6,9,4,8,4,1,0,1,140
85389.lin,closed,5,9,4,8,5,7,6,9,4,8,4,1,0,1,140
85389.lin,open,6,8,4,1,11,1,11,7,5,3,5,5,0,1,-500
85389.lin,closed,6,8,4,1,11,1,11,7,5,3,5,5,0,1,-500
85389.lin,open,7,9,4,7,5,8,3,4,8,6,6,2,0,1,140
85389.lin,closed,7,9,4,7,5,8,3,4,8,6,6,2,0,1,140
85389.lin,open,8,6,6,4,9,8,5,5,8,7,6,3,1,0,-140
85389.lin,closed,8,6,6,4,9,8,5,5,8,7,6,3,1,0,-140
85389.lin,open,9,6,6,9,4,6,6,5,7,7,6,2,1,1,140
85389.lin,closed,9,6,6,9,4,6,6,5,7,7,6,2,1,1,140
85389.lin,open,10,5,7,7,5,4,9,6,6,5,7,1,0,0,-110
85389.lin,closed,10,5,7,7,5,4,9,6,6,5,7,1,0,0,-110
85389.lin,open,11,4,9,3,10,5,7,2,11,3,10,3,4,0,-430
85389.lin,closed,11,4,9,3,10,5,7,2,11,3,10,3,4,0,-430
85389.lin,open,12,4,9,11,2,9,3,5,7,6,5,5,0,0,300
85389.lin,closed,12,4,9,11,2,9,3,5,7,6,5,5,0,0,300
85390.lin,open,25,7,6,5,8,3,9,3,10,4,7,3,3,0,-130
85390.lin,closed,25,7,6,5,8,3,9,3,10,4,7,3,3,0,-130
85390.lin,open,26,9,3,10,1,10,3,7,6,8,3,4,1,1,620
85390.lin,closed,26,9,3,10,1,10,3,7,6,8,3,4,1,1,620
85390.lin,open,27,11,2,7,6,9,4,11,2,9,2,4,0,1,450
85390.lin,closed,27,11,2,7,6,9,4,11,2,9,2,4,0,1,450
85390.lin,open,28,5,7,6,6,3,9,8,5,4,7,2,2,0,-110
85390.lin,closed,28,5,7,6,6,3,9,8,5,4,7,2,2,0,-110
85390.lin,open,29,3,9,0,11,5,6,1,11,0,8,6,1,0,-1430
85390.lin,closed,29,3,9,0,11,5,6,1,11,0,8,6,1,0,-1430
85390.lin,open,30,4,8,4,8,5,8,3,9,4,8,1,4,0,-120
85390.lin,closed,30,4,8,4,8,5,8,3,9,4,8,1,4,0,-120
85392.lin,open,13,13,0,13,0,12,1,9,4,13,0,7,4,1,2220
85392.lin,closed,13,13,0,13,0,12,1,9,4,13,0,7,4,1,2220
85392.lin,open,14,7,6,10,3,6,7,10,3,10,3,3,4,1,430
85392.lin,closed,14,7,6,10,3,6,7,10,3,10,3,3,4,1,430
85392.lin,open,15,6,6,5,7,6,6,7,6,6,6,1,4,0,-90
85392.lin,closed,15,6,6,5,7,6,6,7,6,6,6,1,4,0,-90
85392.lin,open,16,9,4,5,8,8,5,6,7,6,6,2,0,1,140
85392.lin,closed,16,9,4,5,8,8,5,6,7,6,6,2,0,1,140
85392.lin,open,17,7,6,10,3,11,2,10,3,8,2,4,1,1,420
85392.lin,closed,17,7,6,10,3,11,2,10,3,8,2,4,1,1,420
85392.lin,open,18,3,10,4,9,3,10,5,8,4,9,4,0,0,-420
85392.lin,closed,18,3,10,4,9,3,10,5,8,4,9,4,0,0,-420
85392.lin,open,19,5,6,11,2,8,5,10,3,6,5,4,1,1,450
85392.lin,closed,19,5,6,11,2,8,5,10,3,6,5,4,1,1,450
85392.lin,open,20,7,6,7,6,5,7,5,7,6,7,1,4,0,-90
85392.lin,closed,20,7,6,7,6,5,7,5,7,6,7,1,4,0,-90
85392.lin,open,21,6,6,7,5,8,5,7,6,6,6,2,2,1,90
